2015-02-12,56,46,66,46,66,6,84,1899,1922,0,0.12,2.7
2015-02-21,70,65,75,48,67,24,89,1978,1996,0,0.12,1.98
2015-02-25,42,33,50,49,68,26,85,1974,1918,0.1,0.1,2.1
2015-02-27,42,37,46,49,69,22,86,2002,1954,0,0.11,1.85
2015-03-07,48,35,60,51,71,28,90,1989,1911,0,0.12,1.58
2015-03-16,67,57,77,53,73,34,87,1913,1908,0,0.11,2.83
2015-03-17,70,58,82,53,73,30,88,1900,1908,0,0.1,2.57
2015-03-18,74,65,82,53,74,27,90,1892,2013,0.11,0.1,1.6
2015-03-21,65,64,66,54,74,30,87,1996,1907,1.01,0.1,1.38
2015-03-28,65,47,82,55,76,33,89,1931,1972,0,0.11,1.99
2015-04-01,74,69,79,56,77,39,89,1987,1936,0.01,0.1,2.26
2015-04-05,62,57,67,57,78,38,91,1973,1982,0.02,0.1,2.61
2015-04-06,75,67,82,57,78,37,88,1970,1909,0,0.1,1.9
2015-04-07,79,70,87,57,78,32,91,1971,1907,0,0.1,2.28
2015-04-16,74,65,82,59,80,38,92,1983,1987,1.66,0.11,4.7
2015-04-17,74,64,83,60,80,38,92,1999,2006,1.1,0.11,1.9
2015-04-18,72,66,78,60,80,42,94,1999,1987,0.09,0.11,8.16
2015-04-28,64,56,71,63,82,47,95,1978,1987,0,0.12,3.76
2015-05-02,70,57,83,64,83,45,96,1976,1964,0,0.15,3.48
2015-05-04,73,61,84,65,84,42,94,2013,1890,0,0.16,1.72
2015-05-14,80,72,87,67,86,47,93,1971,1995,0.05,0.16,2.44
2015-05-17,78,71,85,68,87,52,95,1970,1894,0.98,0.17,4.2
2015-05-20,81,73,89,69,87,48,95,1894,2008,0.31,0.16,4.17
2015-05-22,72,65,79,69,88,48,96,1892,2005,0,0.16,3.1
2015-05-28,80,70,90,70,89,54,98,1901,1906,0,0.17,2.83
2015-05-29,80,70,89,71,89,58,99,1984,1996,0.01,0.17,4.33
2015-06-03,80,69,91,72,90,52,98,1970,1960,0,0.18,3.27
2015-06-06,83,72,93,72,91,57,105,1970,2011,0,0.18,2.66
2015-06-25,85,75,94,75,92,60,102,1974,2009,0,0.2,2.82
2015-06-26,86,77,94,75,92,59,105,1974,2012,0.13,0.19,10.34
2015-06-27,83,73,93,75,92,57,102,1974,1980,2.38,0.19,2.5
2015-06-28,82,73,90,75,93,59,102,1974,2009,2.24,0.19,2.98
